아이디,한글,교정된한글,label
  @doel8126,이서 잘 하진 않는데 사리지 않고 자신감있게 소리 내는 거 너무 보기 좋다 저래야 늘지리즈 유진이는 진짜 떡상해라 저렇게 춤추면서 저렇게 잘 하다니 ,이서 잘 하진 않는데 사리지 않고 자신감 있게 소리 내는 거 너무 보기 좋다 저래야 늘지 리즈 유진이는 진짜 떡 사해라 저렇게 춤추면서 저렇게 잘 하다니 ,1
  @user-jk9wz8zz3i,내가 하고 싶은 말이 이거였어,내가 하고 싶은 말이 이거였어,1
  @user-fu8uf2ds8o,중소라서 저정도 비쥬얼에 실력까진 무린듯,중소라서 저 정도 비주얼에 실력까진 무린듯,0
  @songkangg,이서 잘하는거에요,이서 잘하는 거예요,1
  @Akaps123,레이 빈자리 채워주느라 열심히네 ,레이 빈자리 채워주느라 열심히네 ,1
  @myang8623,스타쉽은 대형이지 어케 중소야,스타십은 대형이지 어떻게 중소야,1
  @user-wp3ux7eq9k,무조건 잘한다 잘한다 하는 팬들 싫어하는데 딱 맞는 댓글 써주셨네요 솔직히 이서는 발음도 부정확하고 잘하는건 아닌데 하려고하는 모습 보이니까 좋은것 같아요 연습 하는만큼 늘것같아서 기대돼요 리즈랑 유진은 진짜 잘하고,무조건 잘한다 잘한다 하는 팬들 싫어하는데 딱 맞는 댓글 써주셨네요 솔직히 이서는 발음도 부정확하고 잘하는 건 아닌데 하려고 하는 모습 보이니까 좋은 것 같아요 연습하는 만큼 늘 것 같아서 기대돼요 리즈랑 유진은 진짜 잘하고,1
  @saksakki0131,성량 좋은데 불안정한 감이 야악간 있음 그치만 레이 파트까지 다 맡고 있는 상황이고 가사 하나 안 날리는 게 예쁘게 보임 다음 컴백도 기대됨,성량 좋은데 불안정한 감이 야악간 있음 그렇지만 레이 파트까지 다 맡고 있는 상황이고 가사 하나 안 날리는 게 예쁘게 보임 다음 컴백도 기대됨,1
  @user-xi5oz4jy7z,스타쉽 정도면 중소는 아니지 않나,스타십 정도면 중소는 아니지 않나,1
  @user-th2kd6pj1b,대형은 에스엠 하이브 이런 데예요 스타쉽은 아이브 보면 커보이긴하지만 중견이 맞아염밑에 이미 댓 달아서 딱히 수정 안하려 했는데 똑같은 대댓글 계속 달려서 그냥 수정합니다 중견으로 해요 우리,대형은 에스엠 하이브 이런 데예요 스타십은 아이브 보면 커 보이긴 하지만 중견이 맞아 요 밑에 이미 댓 달아서 딱히 수정 안 하려 했는데 똑같은 때 댓글 계속 달려서 그냥 수정합니다 중견으로 해요 우리,1
  @user-th2kd6pj1b,라이브잘해야가수 오 중견이 맞는 거 같음요,라이브 잘 해야 가수 오 중견이 맞는 거 같음요,1
  @ine365,맞아 성의있어 보이고 열심히 하는 거 같아서 좋음,맞아 성의 있어 보이고 열심히 하는 거 같아서 좋음,1
  @ws7eyd, 거긴 삼대기획사라고 하는게 맞지않나 중소는 범위가 너무 넓어지니까 중대형이 맞지 소 붙을 회사는 아닌데, 거긴 삼대 기획사라고 하는 게 맞지 않나 중소는 범위가 너무 넓어지니까 중대형이 맞지 소 붙을 회사는 아닌데,1
  @user-rv5sy9wt6w,스타쉽이 아이브때메 유명한줄아나,스타십이 아이브 땜에 유명한 줄 아나,1
  @user-th2kd6pj1b,물론 씨스타 몬엑 크레비티 많은 거 아는데용 아이브 영상이라 아이브라 한거예욤,물론 씨스타 몬엑 크레 비티 많은 거 아는데요 아이브 영상이라 아이브라 한 거예요,1
  @Soobin_TXT1205, 스타쉽이 어째서 중소임, 스타십이 어째서 중소임,1
  @user-ub1hb8qj1l,소속사가 대형 아니면 중소밖에 없냐 니네들,소속사가 대형 아니면 중소밖에 없냐 너네들,1
  @user-th2kd6pj1b,그럼 뭐잇어요 대 중 소로 나뉘는 거 아님,그럼 뭐 있어요 대 중 소로 나뉘는 거 아님,1
  @user-nn3oc4ew3k,잘하는데,잘하는데,1
  @jun8440,스타쉽도 옛날 스타쉽이 아님 카카오 자본 붙어서 훨씬 커짐,스타십도 옛날 스타십이 아님 카카오 자본 붙어서 훨씬 커짐,1
  @cryingcat5020,이런 모습 보여주면 다음에도 충분히 기대할 만하죠,이런 모습 보여주면 다음에도 충분히 기대할 만하죠,1
  @user-yr9kd2wm7i,인분 몫은 하는거 같은데남돌들 중에 쟤보다 못하는데 실력으로 빨리눈 애들 수두룩함,인분 몫은 하는 거 같은데 남들 들 중에 쟤보다 못하는데 실력으로 빨리 눈 애들 수두룩함,1
  @vtv8035,스타쉽 대기업 맞음 구글에 쳐도 스타쉽 대형기획사로 뜨는데 다들 뭔솔 ,스타십 대기업 맞음 구글에 쳐도 스타십 대형 기획사로 뜨는데 다들 뭔 솔 ,1
  @user-mn3eu4hx3m,중소보단 중간과 대형 그 중간 어디쯤임,중소보단 중간과 대형 그 중간 어디쯤임,1
  @user-nf5zt2bu1d,스티쉽 하는 꼬라지보면 중소임,스티쉽 하는 꼬락서니 보면 중소임,0
  @utp5138,스타쉽자체만 보면 대형임,스타십 자체만 보면 대형임,1
  @user-mq3vm7xh6h,리즈 유진은 저런 격한춤에서 저런고음면 잘하는거아님대박이네,리즈 유진은 저런 격한 춤에서 저런 고음 면 잘하는 거 아님 대박이네,1
  @beberi9107,잘하는거 맞음 이거 노래방에서도 부르기 힘듦 넘 높아서,잘하는 거 맞음 이거 노래방에서도 부르기 힘듦 너무 높아서,1
  @user-mq3vm7xh6h,오 나 이 만큼 좋아요 많이 달린 건 첨이야,오 나 이만큼 좋아요 많이 달린 건 첨이야,1
  @cexcexcex,숨차죽겠는데 저 고음 안정적으로 올리는거면 실력좋긴함,숨차죽겠는데 저 고음 안정적으로 올리는 거면 실력 좋긴 함,1
  @mumi646,저 고음파트 원영이도 잘할텐뎈,저 고음 파트 원영이도 잘할텐뎈,1
  @user-er9rg2dl2s,  지금은 못할듯,  지금은 못할 듯,1
