Unnamed: 0,아이디,댓글 내용
0,  @hyeongieemrremoved9763,"Hii  If you like my videos, plz press like, subscribe and turn on the bell to get the newest notifications !!!If you have any requests, plz leave a comment and don't forget to mention me because there are so many comments so I can't check them all "
1,  @gouripatil5649,Please do Flower by jisoo( SBS Inkigayo)
2,  @kpopworld28,So in short no one can sang live except Liz.
3,  @user-qd7wv1gj4d,00
4,  @dianajoyjuanillo2100," @kpopworld28  Wonyoung was barely ""singing"", Lol~"
5,  @hyeongieemrremoved9763," @gouripatil5649  All of her performances at inkigayo are lipsync  but you can watch the performance at Coachella, she sang live"
6,  @nanatakori3470," @hyeongieemrremoved9763  can you do the MR removed on NMIXX’s latest Love Me Like This or Young, Dumb, Stupid"
7,  @fennekindol2503,I love that Liz sang all her lines without lipsyncing a single word.
8,  @lachimolalaarmy7323,"Yes, Liz’s voice and stage presence is insane... I love her "
9,  @mmyura3279,This is so backhanded
10,  @udonramenyumz,I could hear her breathing clearly so yes she is definitely lived I'm so proud of her!
11,  @beebookandcandle,She is amazing!!!
12,  @tj.8924, @mmyura3279  typical Liz stans
13,  @mmyura3279, @tj.8924  no bc  atp they don't even stan her and use her to hate on other
14,  @reisiens, @mmyura3279  fr. they all did good
15,  @blondielockss,Liz always gives her all and if I'm not mistaken Yujin almost always sings live (and tbh in all the 'live' I watched Yujin and Liz are always the members who actually sings live the most)
16,  @cherrymydear,"They all did great, liz would lipsync the im on my way part too if she had it,The other members do it cuz it takes away their breaths while dancing"
17,  @devandraseptyan,main vocal behavior fr
18,  @bestfriend4493,She's on  in this comeback.LIZZZ I ️ U
19,  @via45,​ @mmyura3279  ikr they clearly not a actual fan.
20,  @m1sara17, @mmyura3279  how
21,  @a97z94,i feel bad for liz that her token stans are out here giving compliments to her only to shade on other members. ew.
22,  @m1sara17, @a97z94  how ? They’re just saying she doesn’t lip sync and sings . If the shoe fits the other members they can wear it . But good on Liz for giving us 100% despite her limitations with screentime
23,  @fennekindol2503, @m1sara17  preach.
24,  @a97z94, @m1sara17  'if the shoe fits' lmfao don't tell me you aint shading. liz is technically the main vocal and she's doing what she's supposed to be doing. yujin did so well too. and no one expects for any non-main vocal member of any other group to sing well but yall are here bringing your inhumane judgement only bcs it's IVE
25,  @sammixx4432, @a97z94  and so what? All of the members are still vocalist. They should all be expected to sing live. It’s literally their job. If other members can do it everyone should be unless sick. We should be praising members who are capable of doing what they trained for and are paid to do. All of them are labeled as vocalists not just rappers or dancers like some other groups.
26,  @TT-ee1vv,​​ @sammixx4432  ​  Take your drama behaviour elsewhere and stop polluting the fandom. Y'all don't even support Liz really well in her solo activities. All y'all do is use Liz who is clearly the vocalist of the group to bash other members.
27,  @sammixx4432," @TT-ee1vv  not drama behavior it’s criticism that i am allowed to speak on. I also don’t get ur point in saying I use Liz and don’t support her solo activities well?? Didn’t know you were close enough to me to know who i support  i very much support Liz as well as other members in IVE. However, I’m not going to sit back and watch people say we use Liz when it’s the truth that she’s one of the only few who actually try. They are getting paid to sing and i am supporting a group for their music. They should be able to sing live, not just a few people. They are ALL labeled as vocalists, main or not that to me says they should be able to sing. No excuses, many other groups are capable of doing so."
28,  @sammixx4432, @TT-ee1vv  also my name is not related to nmixx it is my actual name with 2 x’s at the end but maybe i should go stan nmixx more as they ALL can actually sing live 🫶
29,  @ryansetyono2776,​@MmyUra  LOL not twice fans said this
30,  @ayakaur,"""this is so backhanded"" to you because your fave is lipsyncing"
31,  @mmyura3279, @ayakaur  they're all my favs point and laugh 🫵
32,  @a97z94, @sammixx4432  cringe
33,  @edizoncahindo5843,y'all attacking fans complimenting Liz singing live and not pushing your faves to do the same instead. If you are an idol you should be able to sing live and not pity-stan them for getting the bare minimum.
34,  @a97z94," @edizoncahindo5843  shouldn't have added 'without lipsyncing a single word' then. the other girls are singing live too, just not able to sing every line bcs they're not a main vocal level. praise liz all you want, but shading other non-main vocal members for not being perfect is just stupid."
35,  @guinnsellina, @tj.8924  no. They’re token stans
36,  @edizoncahindo5843," @a97z94  it was just shady in your head because you all know the other girls lipsyncs a lot. it could also mean that a lot of kpop groups do lipsync but not Liz.. No, because even you stans of the other girls  are fully aware of their neglect to improve live singing. if you are aware that they are being criticized for that and they are guilty, you should let them know as fans to better themselves. If you love them you will be happy to see them improve their artistry."
37,  @a97z94," @edizoncahindo5843  you're so nitpicky. if you compare their previous live stages, you'd see that all the girls improved a lot and not just liz. you're basically saying they didn't improve and only liz is good, and that only shows you already have a biased view. everyone else, even the knetizens praised all the girls this time and yall still here with the 'lip syncing' all the time BS"
38,  @tomieeeeeee,I think ever since their debut she always tried to sing all her lines. She's really amazing.
39,  @ivegottime, @sammixx4432  wdym and so what you're an hater
40,  @littlecherrybloosom9950,Because she knows that she can belt every notes. I love that she is very confident with her voice and very reliable 
41,  @kenmasugarbaby1946, @tj.8924   wdym? theyre just praising their bias? and yk damn well its facts that she's the best singer in the group
42,  @kenmasugarbaby1946,ikr proud of our amazing stable vocal queen <3
43,  @kenmasugarbaby1946, @mmyura3279  our girly is just too talented
44,  @Liz-shine,What a terrible and elegangce liz .
45,  @amin-vo3no, @mmyura3279  Girl what lmao it's hard to sing while dancing so ofc they'd be surprised she never lipsynced
46,  @sammixx4432," @ivegottime  not at all a hater ️ if what i said offends you that’s bc it’s most likely your fav doing the bare minimum and not singing live lol if Liz was one of the ones not singing live when the others were my opinion would still stand. The whole group should be singing live if it’s live, not just a few."
47,  @whoisdeja_, @mmyura3279  how️
48,  @whoisdeja_, @a97z94  they didnt say anything abt the other members? they jus wanted to compliment liz bruh why did they have to compliment everyone
49,  @a97z94," @whoisdeja_  they should have stopped at 'i love that liz sang all her lines' why say without lipsyncing a single word? their love for liz will still go through without being shady towards the others lipsyncing some parts. it's not like the other members lipsynced all throughout. and no one said they should compliment everyone, where did i say that?"
50,  @pandaman9490, @sanotazoki  Are you unable to entertain the possibility that people like her and enjoy her skills as a singer?
51,  @onceinsomniamiracleneverla6767,So proud of her. Cuz shes the only LIVE vocal that actually isnt screaming and belt it out
52,  @fennekindol2503," @onceinsomniamiracleneverla6767  true. She's actually singing with her whole chest when other idols, even main vocals, would sing them in falsetto, or worse, lipsync them"
53,  @Caspian_4x22,"​​@tj.  Liz Stans don't hate on others , her Stans are probably the coolest and calmest along with rei Stans , for a bit of time during after like and love diveher Stans wanted lines for her (since she's the main singer of the group so it's acceptable) and from that moment people disguised themselves as Liz Stans and started hating on wonyoung and others , the thing is during the first  week of love dive Liz Stans showed their anger towards starship for not letting her sing and it died down quickly and after like a month , there was this new wave of so called Liz Stans hating on wonyoung for taking her lines all of the a sudden when in reality Loz Stans only complaint about starship suddenly without no reason who would they hate on wonyoung ? It's cause they used ""being a Liz stan"" as an excuse to get away with hating wonyoung."
54,  @nyannyin5677,"the fandom is so toxic lol just bcs someone type this type of comment, these little kids getting offended for every word that doesnt go their own way lately, pls cool down the negative thoughts, kids.. having your own misinterpretation could really kill you"
55,  @ggstan2439," @sammixx4432 being non vocal liner doesn’t mean you shouldn’t sing live or you should sing badly, you are still an idol, a singer, you might not be the best but you SHOULD be good."
56,  @ggstan2439," @a97z94  being non vocal liner doesn’t mean you shouldn’t sing live or you should sing badly, you are still an idol, a singer, you might not be the best but you SHOULD be good."
57,  @a97z94, @ggstan2439  where in the hell did i say they shouldn't sing live if they are non-vocal?
58,  @sammixx4432, @ggstan2439  I think u responded to the wrong person
59,  @djdb1214,SHE'S AMAZING
60,  @user-xk3sx1vf6h,That's what singers are supposed to do bro
61,  @zxxn1,와 유진 리즈 보란듯이 완벽하게 춤추면서 고음 라이브 해버리네.. 이서 실력 왤케 많이 늘었어 앞으로가 더 기대된다
62,  @user-dl1vj7no8c,저 둘은 원래부터 잘했는데 더 늘었네 ..
63,  @Dorosizzz,그분은 여전히....
64,  @6r0h69,"1:15 이게 라이브가 되는 구간이라니,,,,, 음색,,,,멋져요,,,,,"
65,  @ML_FOY,"ㄹㅇ 호흡, 발성 다 끓길 수도 있는 파트인데.."
66,  @rryyuuu5154,왜??  이거 라이브 안되는구간인거야?? 도대체  왜??왜.당연한걸 찬양하는거야???
67,  @ML_FOY, @rryyuuu5154  라이브 하기 ㅈㄴ 어려운 부분이니까 그렇지ㅋㅋㅋㅋㅋ 찬양 이러네
68,  @user-md4tw7zg2j,​ @rryyuuu5154  춤추면서해봐ㅋ
69,  @user-md4tw7zg2j,​ @rryyuuu5154  제발해봐 해보고말해 첨부터 리즈만큼 머릿칼흔들려가며 춤도추면서 1절하고 저부분해봐
70,  @user-ge9lm9th1x,​ @user-md4tw7zg2j 쟨 일반인인데 아이돌처럼 할 이유가 없는데?
71,  @user-zi4wn3pn3u,​ @user-ge9lm9th1x 위에친구가 쉽다는것처럼 말하잖아요....
